fish.id,Strain,Sex,day,Treatment,camera,distance.from.bottom(cm),distance.from.center(cm),distance.travelled(cm),percent.explored,boldness.index,Ate_day_3,bold.median
23-373B,WIK,Male,02,Vehicle,c4,5.221865396,7.22565433,27.22387293,57.4,-0.083436681,Y,bold
23-373C,WIK,Male,01,Escitalopram,c5,5.896750191,4.069212565,14.88032779,61.3,-0.09021674,Y,bold
23-373C,WIK,Male,02,Escitalopram,c5,8.190980809,6.998937627,25.5908879,61.7,-0.09021674,Y,bold
23-373D,WIK,Female,01,Vehicle,c6,6.718822464,6.933360357,25.45387504,66.2,2.044616748,Y,bold
23-373D,WIK,Female,02,Vehicle,c6,7.73140624,7.828143098,26.30625522,52.4,2.044616748,Y,bold
23-374A,WIK,Male,01,Vehicle,c3,5.253001862,7.117789014,34.19280276,59.4,-0.774502016,Y,shy
23-374A,WIK,Male,02,Vehicle,c3,6.983515857,7.275356129,27.52618555,55,-0.774502016,Y,shy
23-374B,WIK,Female,01,Escitalopram,c4,6.027451146,7.683240574,31.6392862,53.4,0.088936716,Y,shy
23-374B,WIK,Female,02,Escitalopram,c4,6.970749937,7.647687178,23.37176032,44.5,0.088936716,Y,shy
23-391A,WIK,Female,01,Vehicle,c3,2.799194184,6.703587625,22.93053096,59.6,-1.024334441,Y,shy
23-391A,WIK,Female,02,Vehicle,c3,5.928849027,7.445515638,30.46053874,47.3,-1.024334441,Y,shy
23-391B,WIK,Male,01,Escitalopram,c4,5.599518239,6.957838218,27.87055685,69.5,0.676058362,Y,bold
23-391B,WIK,Male,02,Escitalopram,c4,3.315108272,5.630781836,25.79515318,63.6,0.676058362,Y,bold
23-391C,WIK,Male,01,Vehicle,c5,5.617441964,7.091201614,22.39040137,57.4,-0.753800639,Y,shy
23-391C,WIK,Male,02,Vehicle,c5,5.424327435,7.257444051,27.62742227,54.4,-0.753800639,Y,shy
23-391D,WIK,Female,01,Escitalopram,c6,5.454261246,7.384850212,27.9542896,48.9,-0.789520093,Y,shy
23-391D,WIK,Female,02,Escitalopram,c6,6.240077107,7.475714093,25.53442802,52.3,-0.789520093,Y,shy
23-392A,WIK,Male,01,Vehicle,c3,6.795124499,6.458982701,20.55135758,63.3,0.787051937,Y,bold
23-392A,WIK,Male,02,Vehicle,c3,7.267908744,6.321467003,20.83827366,57.2,0.787051937,Y,bold
23-392B,WIK,Female,01,Escitalopram,c4,3.969945934,6.365381765,21.26288419,60.8,-0.201429982,Y,shy
23-392B,WIK,Female,02,Escitalopram,c4,5.155211516,7.300658302,24.56239432,51,-0.201429982,Y,shy
23-392C,WIK,Female,01,Vehicle,c5,6.497006104,6.870247597,22.5666518,56.2,0.700823816,Y,bold
23-392C,WIK,Female,02,Vehicle,c5,8.136733722,7.465021268,23.60586884,53.8,0.700823816,Y,bold
23-392D,WIK,Male,01,Escitalopram,c6,6.180076496,6.882778796,32.85575459,69.4,1.076963048,Y,bold
23-392D,WIK,Male,02,Escitalopram,c6,9.387118707,5.510166495,16.43916538,56.1,1.076963048,Y,bold
23-393A,WIK,Female,01,Escitalopram,c3,5.445650246,6.261078815,24.69721282,74.3,2.292913786,Y,bold
23-393A,WIK,Female,02,Escitalopram,c3,6.228249202,6.549239543,20.15758822,62.5,2.292913786,Y,bold
23-393B,WIK,Male,01,Vehicle,c4,6.99349642,7.657790214,36.45776929,52.9,-0.311812875,Y,shy
23-393B,WIK,Male,02,Vehicle,c4,8.36123752,7.701430152,31.08886935,41.2,-0.311812875,Y,shy
23-393C,WIK,Male,01,Escitalopram,c5,5.07863028,7.808855959,33.13961349,56.3,-1.268088105,Y,shy
23-393C,WIK,Male,02,Escitalopram,c5,7.115767333,7.426205515,29.35012401,52.3,-1.268088105,Y,shy
23-393D,WIK,Female,01,Vehicle,c6,2.846221619,7.066194982,20.0117405,50.5,-2.103259229,Y,shy
23-393D,WIK,Female,02,Vehicle,c6,5.904309849,7.439601506,25.67960341,57,-2.103259229,Y,shy
23-394A,WIK,Male,01,Escitalopram,c3,1.990836044,6.806671381,14.94313621,47.3,-4.536787827,Y,shy
23-394A,WIK,Male,02,Escitalopram,c3,5.698678006,6.994249999,25.2427115,51.7,-4.536787827,Y,shy
